,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
1034,X16R,PoW/PoS,36923120.6205934,82546564
1035,Quark,PoS,7082392.24744494,21000000
1036,Quark,PoW/PoS,5919489.76813523,5151000
1037,Scrypt,PoS,1042012.45227735,16880000000
1038,Zhash,PoW/PoS,0.0,36000000
1039,Lyra2REv2,PoW/PoS,13332617.9413708,52500000
1040,Quark,PoS,66053877.6256106,100000000
1042,XEVAN,PoS,0.0,19000000
1043,CryptoNight,PoW,0.0,50000000
1044,Scrypt,PoW,1416663.06600024,22105263
1045,Scrypt,PoW,269143950.637501,1000000000
1046,Scrypt,PoW/PoS,5403802.49590733,1000000000
1048,CryptoNight-V7,PoW,15580199.3087496,1750000000
1049,Cryptonight-GPU,PoW,4890897.0,88188888
1050,Scrypt,PoW/PoS,0.0,100000000
1051,XEVAN,PoW,14746153.0962884,210000000
1052,CryptoNight Heavy,PoW,99553110528.8022,184470000000
1053,CryptoNight,PoW,484454200.0,1000000000
1054,X11,PoS,19269509.94,55000000
1055,X11,PoW,26709236.7607446,50000000
1056,X11,PoW/PoS,30771125.9760867,50000000
1057,Scrypt,PoS,107763867.917675,260000000
1059,PoS,PoS,9327131.59708692,210000000
1060,Lyra2REv2,PoW,0.0,175000000
1062,Scrypt,PoS,0.0,840000000
1063,SHA-256,PoW,2100000000.0,2100000000
1064,Scrypt,PoS,0.0,70000000
1065,Keccak,PoW/PoS,4672513.84432375,366000000
1066,X11,PoS,4504639.0,100000000
1068,X11,PoW,5015881.37315389,25000000
1069,Tribus,PoW/PoS,1859475.60962,36500000
1070,Quark,PoW/PoS,0.0,250000000
1071,Scrypt,PoW/PoS,1059954080.43439,18000000000
1072,NeoScrypt,PoW/PoS,2381470.97805063,21000000
1074,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000
1075,X16R,PoW,9753753.61515394,100000000
1076,ECC 256K1,DPOS,1000000000.0,1000000000
1080,NeoScrypt,PoW/PoS,0.0,252000000
1086,Equihash,PoW,4235111504.0,7600000000
1087,XEVAN,PoS,6787405.18013774,50000000
1088,Quark,PoW,0.0,29300000
1089,CryptoNight Heavy X,PoW,0.0,100000000000
1090,HMQ1725,PoW,75579791.7052214,207000000
1091,Lyra2Z,PoW,13634850.0,84000000
1093,Ethash,PoW,0.0,13666237
1094,SHA-512,PoS,200000000.0,200000000
1097,SHA-256,PoW,17992514.6469233,21000000
1098,Quark,PoS,14303114.6740944,38000000
1099,PHI1612,PoW,13969583.3757376,64000000
1101,XEVAN,Pos,208515864.367343,70000000000
1102,Ethash,PoW,0.0,100000000
1104,X11,PoS,17209923728.3266,0
1105,CryptoNight,PoW,1867054873.28397,8080000000
1106,Quark,POS / MN,0.0,46000000
1110,SkunkHash,PoW,0.0,6100000
1111,Quark,PoW/PoS,35312185.7437239,54000000
1112,Argon2,PoW,0.0,42000000
1113,Blake,PoW,20595483.8480416,21000000
1114,Blake,PoW,1578281.31341127,105120001.44
1115,Blake,PoW,15846721.2482747,25228800
1116,Blake,PoW,24156921.9868023,7000000000
1118,SHA-256,PoW,0.0,20999764
1119,Equihash,PoS,13475920.0,105000000
1120,Exosis,PoW,406091.925,21000000
1121,Scrypt,PoW,35284717.173946,120000000
1123,Scrypt,PoW/PoS,14777549.3940764,21000000
1124,Equihash,PoW,35687520.0,262800000
1125,Quark,PoW/PoS,18265011.2486006,19035999
1127,Equihash,PoW,25150787.5,30886000
1130,Quark,PoS,1934701.67524713,13370000
1131,Scrypt,PoW/PoS,30825710000.0296,74800000000
1132,Lyra2REv2,PoW,6040583.72997153,32700000
1136,QuBit,PoW,12925790.4226959,100000000
1137,X11,PoS,715659.44237941,19700000
1138,Scrypt,PoW/PoS,20546528.2059957,84000000
1139,Equihash1927,PoW,0.0,100000000
1140,XEVAN,PoW/PoS,198938144.363399,500000000
1141,SHA-256D,PoW/PoS,896361168.0,5000000000
1142,X11,PoW/PoS,15420234.5389336,420000000
1143,SHA-256,PoW,0.0,105000000
1144,SHA-256,PoW,52293836.6277958,64000000
1147,X13,PoW,1170292.5,2100000
1148,SHA-256,PoW,84613099.9999955,168000000
1149,X11,PoW/PoS,23775960.3207514,30000000
1151,DPoS,DPoS,1000000000.0,1000000000
1152,X11,PoS,0.0,25000000
1153,Ethash,PoW,10000000000.0,10000000000
1155,Scrypt,PoW/PoS,15318887081.0146,35000000000
1156,X11,PoW,0.0,18450000
1157,Scrypt,PoW,55565076.3863525,98100000000
1158,X11,PoW/PoS,242574105.22384,0
1159,NeoScrypt,PoW,3824685012.0,4000000000
1160,QuBit,PoW/PoS,0.0,0
1161,Scrypt,PoW/PoS,3537150.0,200000000
1163,Blake,PoW,23356790.1494191,7000000000
1164,Scrypt,PoW/PoS,20576532.0,54256119
1165,SHA-256,PoS,4392258.24647793,21000000
1166,Scrypt,PoW/PoS,9631199.99309942,0
1167,X11,PoW/PoS,436353624.490312,500000000
1168,CryptoNight,PoW,0.0,18400000
1170,Scrypt,PoW,780210700.0,1000000000
1172,Scrypt,PoW/PoS,980732528.97974,10500000000
1175,SHA-256,PoW/PoS,17939725045.334,190000000
1176,X11,PoW/PoS,494240666.028571,1000000000
1177,SHA-256,PoW,22986929.0854247,42000000
1178,Scrypt,PoW/PoS,60000000.0,15000000
1180,CryptoNight,PoW,0.0,18446744
1181,Scrypt,PoW,29583989322.9213,50000000000
1183,SHA-256,PoW/PoS,0.0,25000000
1185,Scrypt,PoW/PoS,404316475.545465,400000000
1186,Groestl,PoW,73298203.8873662,105000000
1187,X11,PoW/PoS,201364327.427503,208000000
1188,Scrypt,PoW/PoS,103621876.167052,160000000
1189,PoS,PoS,3821245.74150193,9000000
1190,Scrypt,PoW,5052555.91981545,5000000
1191,Scrypt,PoW,69684455.4387001,182000000
1192,X11,Proof of Trust,16901016.6609755,16504333
1193,SHA-256,PoW/PoS,74676064.9488608,105000000
1194,DPoS,DPoS,120012140.0,159918400
1195,Scrypt,PoS,10000244677.7002,10008835635
1196,Scrypt,PoW/PoS,252005564.19257,300000000
1197,Scrypt,PoW,0.0,890000000
1198,NeoScrypt,PoW/PoS,1120385.00502,60168145
1199,Scrypt,PoW/PoS,0.0,300000000
1200,SHA3-256,DPoC,-5917977547.96773,5000000000
1201,Multiple,PoW,3332922.5,2800000
1202,X13,PoW/PoS,140777.753365,120000
1204,Equihash+Scrypt,PoW,100000000.0,2100000000
1208,Lyra2Z,PoW,40874452.4756771,210000000
1210,PHI2,PoW/PoS,2233828.12953048,21000000
1211,DPoS,DPoS,1020544523.0722,0
1213,Ethash,PoW,24487944.0958204,24487944
1214,DPoS,DPoS,1122382283.37,0
1223,Ethash,PoW,0.0,1000000000
1226,SHA-256,PoS,1000000000.0,1000000000
1227,Lyra2Z,PoW/PoS,11086825523.3769,100000000000
1230,Leased POS,LPoS,100000000.0,100000000
1231,PoS,PoS,9283137.5558676,8634140
1233,Scrypt,PoS,24924986.0946492,900000000
1234,TRC10,DPoS,989988713439.649,990000000000
1236,Equihash,DPoW,11000068.2715789,11000000
1237,PoS,PoS/LPoS,1000000000.0,1000000000
1238,SHA-256,DPoS,1999999995.3056,2000000000
1242,Scrypt,PoW/PoS,14931046.1546605,250000000
1245,CryptoNight,PoW,980222595.0,1400222610
1246,Equihash,PoW,7296537.5,21000000
1247,Scrypt,PoS,128326.99633965,1000000
1248,Scrypt,PoW/PoS,21491213.4644496,100000000
